san andrés y providencia,2021-03-11,2715
santander,2021-03-11,92467
sucre,2021-03-11,21191
tolima,2021-03-11,65755
valle del cauca,2021-03-11,199245
vaupés,2021-03-11,1153
vichada,2021-03-11,1386


total,2021-03-13,2294617
amazonas,2021-03-13,5581
antioquia,2021-03-13,351041
arauca,2021-03-13,5638
atlantico,2021-03-13,49901
barranquilla,2021-03-13,77822
bolivar,2021-03-13,10252
boyaca,2021-03-13,46996
caldas,2021-03-13,47153
caqueta,2021-03-13,17109
casanare,2021-03-13,12589
cauca,2021-03-13,27621
cesar,2021-03-13,41114
choco,2021-03-13,6607
cordoba,2021-03-13,39429
cundinamarca,2021-03-13,107820
guainía,2021-03-13,1328
guaviare,2021-03-13,2263
huila,2021-03-13,50194
la guajira,2021-03-13,16501
magdalena,2021-03-13,11521
meta,2021-03-13,42907
nariño,2021-03-13,49431
norte de santannder,2021-03-13,51251
putumayo,2021-03-13,7979
quindío,2021-03-13,32937
risaralda,2021-03-13,46780
san andrés y providencia,2021-03-13,2718
santander,2021-03-13,92560
sucre,2021-03-13,21242
tolima,2021-03-13,65799
valle del cauca,2021-03-13,199587
vaupés,2021-03-13,1153
vichada,2021-03-13,1387


total,2021-03-14,2299082
amazonas,2021-03-14,5629
antioquia,2021-03-14,351742
arauca,2021-03-14,5642
atlantico,2021-03-14,50099
barranquilla,2021-03-14,78295
bolivar,2021-03-14,10263
boyaca,2021-03-14,47066
caldas,2021-03-14,47235
caqueta,2021-03-14,17111
casanare,2021-03-14,12606
cauca,2021-03-14,27652
cesar,2021-03-14,41211
choco,2021-03-14,6608
cordoba,2021-03-14,39629
cundinamarca,2021-03-14,108018
guainía,2021-03-14,1329
guaviare,2021-03-14,2278
huila,2021-03-14,50244
la guajira,2021-03-14,16557
magdalena,2021-03-14,11632
meta,2021-03-14,42980
nariño,2021-03-14,49486
norte de santannder,2021-03-14,51286
putumayo,2021-03-14,7997
quindío,2021-03-14,33047
risaralda,2021-03-14,46880
san andrés y providencia,2021-03-14,2719
santander,2021-03-14,92677
sucre,2021-03-14,21310
tolima,2021-03-14,65834
valle del cauca,2021-03-14,199964
vaupés,2021-03-14,1153
vichada,2021-03-14,1394


total,2021-03-14,2299082
amazonas,2021-03-14,5629
antioquia,2021-03-14,351742
arauca,2021-03-14,5642
atlantico,2021-03-14,50099
barranquilla,2021-03-14,78295
bolivar,2021-03-14,10263
boyaca,2021-03-14,47066
caldas,2021-03-14,47235
caqueta,2021-03-14,17111
casanare,2021-03-14,12606
cauca,2021-03-14,27652
cesar,2021-03-14,41211
choco,2021-03-14,6608
cordoba,2021-03-14,39629
cundinamarca,2021-03-14,108018
guainía,2021-03-14,1329
guaviare,2021-03-14,2278
huila,2021-03-14,50244
la guajira,2021-03-14,16557
magdalena,2021-03-14,11632
meta,2021-03-14,42980
nariño,2021-03-14,49486
norte de santannder,2021-03-14,51286
putumayo,2021-03-14,7997
quindío,2021-03-14,33047
risaralda,2021-03-14,46880
san andrés y providencia,2021-03-14,2719
santander,2021-03-14,92677
sucre,2021-03-14,21310
tolima,2021-03-14,65834
valle del cauca,2021-03-14,199964
vaupés,2021-03-14,1153
vichada,2021-03-14,1394


total,2021-03-15,2303144
amazonas,2021-03-15,5637
antioquia,2021-03-15,352497
arauca,2021-03-15,5643
atlantico,2021-03-15,50379
barranquilla,2021-03-15,78687
bolivar,2021-03-15,10278
boyaca,2021-03-15,47089
caldas,2021-03-15,47330
caqueta,2021-03-15,17114
casanare,2021-03-15,12624
cauca,2021-03-15,27660
cesar,2021-03-15,41274
choco,2021-03-15,6610
cordoba,2021-03-15,39809
cundinamarca,2021-03-15,108115
guainía,2021-03-15,1330
guaviare,2021-03-15,2280
huila,2021-03-15,50292
la guajira,2021-03-15,16600
magdalena,2021-03-15,11697
meta,2021-03-15,43013
nariño,2021-03-15,49601
norte de santannder,2021-03-15,51306
putumayo,2021-03-15,8003
quindío,2021-03-15,33117
risaralda,2021-03-15,46961
san andrés y providencia,2021-03-15,2719
santander,2021-03-15,92779
sucre,2021-03-15,21387
tolima,2021-03-15,65857
valle del cauca,2021-03-15,200416
vaupés,2021-03-15,1153
vichada,2021-03-15,1394


